Altium Designer Pick and Place Locations
C:\Users\wrams\Dropbox\Work\Internal_Projects\PE0024\Project Outputs for PE0024\Pick Place\Pick Place for PE0024_Rev_A.csv

========================================================================================================================
File Design Information:

Date:       30/11/22
Time:       23:30
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C4","GRM21BR61C106KE15L","TopLayer","FP-GRM21B-0_1-IPC_C","8.8000","55.9000","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X5R, 15%, 10%, 16V"
"C1","GRM21BR61C106KE15L","TopLayer","FP-GRM21B-0_1-IPC_C","16.0000","72.6000","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X5R, 15%, 10%, 16V"
"C2","C3216X7S2A225K160AB","TopLayer","FP-C3216-160-0_2-IPC_B","13.2000","66.3000","0","Multilayer Ceramic Capacitors 2.2uF ±10% 100V X7S SMD 1206"
"C5","C3216X7S2A225K160AB","TopLayer","FP-C3216-160-0_2-IPC_B","13.1000","54.2000","0","Multilayer Ceramic Capacitors 2.2uF ±10% 100V X7S SMD 1206"
"J1","1735882","TopLayer","MSTBW_2,5/2-G-5,08","3.2000","63.9000","270","Pluggable Terminal Blocks 2 Pos 5.08mm pitch Through Hole Header"
"U3","140357145400","TopLayer","SOP254P700X210-4N","11.3000","39.7000","90","Optocoupler, Transistor, 35V, Sop-4 Rohs Compliant: Yes"
"U4","140357145400","TopLayer","SOP254P700X210-4N","15.9507","39.7000","90","Optocoupler, Transistor, 35V, Sop-4 Rohs Compliant: Yes"
"U5","140357145400","TopLayer","SOP254P700X210-4N","20.6000","39.7000","90","Optocoupler, Transistor, 35V, Sop-4 Rohs Compliant: Yes"
"R11","Res","TopLayer","0402RES","8.8000","28.5000","180","RES SMD 60.4K OHM 1% 1/10W 0402"
"R14","Res","TopLayer","0402RES","5.7000","27.2000","0","RES SMD 49.9K OHM 1% 1/10W 0402"
"R13","Res","TopLayer","0402RES","8.8000","27.2000","180","RES SMD 49.9K OHM 1% 1/10W 0402"
"R12","Res","TopLayer","0402RES","5.7000","28.5000","0","RES SMD 90.9 OHM 1% 1/10W 0402"
"R10","Res","TopLayer","0402RES","3.4000","31.5000","90","RES SMD 63.4 OHM 1% 1/10W 0402"
"R15","Res","TopLayer","0402RES","27.4000","12.8000","0","RES SMD 10K OHM 1% 1/10W 0402"
"R16","Res","TopLayer","0402RES","27.4000","11.5000","0","RES SMD 10K OHM 1% 1/10W 0402"
"R17","Res","TopLayer","0402RES","27.4000","10.2000","0","RES SMD 10K OHM 1% 1/10W 0402"
"R8","Res","TopLayer","0402RES","19.4000","34.3000","270","RES SMD 470 OHM 1% 1/10W 0402"
"R7","Res","TopLayer","0402RES","14.7000","34.3000","270","RES SMD 470 OHM 1% 1/10W 0402"
"R5","Res","TopLayer","0402RES","7.8000","35.9000","180","RES SMD 470 OHM 1% 1/10W 0402"
"R1","Res","TopLayer","0402RES","14.2000","58.4000","90","RES SMD 23.7K OHM 1% 1/10W 0402"
"R9","Res","TopLayer","0402RES","3.4000","33.6000","270","RES SMD 24.9K OHM 1% 1/10W 0402"
"R4","Res","TopLayer","0402RES","13.7000","51.6000","270","RES SMD 10K OHM 1% 1/10W 0402"
"R2","Res","TopLayer","0402RES","12.9000","58.4000","270","RES SMD 124K OHM 1% 1/10W 0402"
"R3","Res","TopLayer","0402RES","12.5000","51.6000","90","RES SMD 100K OHM 1% 1/10W 0402"
"L1","NRS6028T220MMGJ","TopLayer","FP-NR6028-MFG","11.2000","71.8000","0","SMD Power Inductors 22uH ±20% 1.3A 0.1755O"
"D2","SMAJ58A","TopLayer","FP-SMAJ-MFG","12.4000","30.1000","270","TVS DIODE 58V 93.6V DO214AC"
"D1","B360A-13-F","TopLayer","FP-SMA-MFG","8.7827","62.3000","270","DIODE SCHOTTKY 60V 3A SMA"
"C6","GRM188R72A104KA35D","TopLayer","FP-GRM188-0_1-e0_2_0_5-IPC_B","4.2000","36.3000","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 0.10uF, X7R, 15%, 10%, 100V"
"C3","Cap","TopLayer","0402CAP","11.5000","58.4000","90","CAP CER 0.1UF 50V X7S 0402"
"U1","MP2459GJ-P","TopLayer","FP-MP2459GJ-P-MFG","12.5000","62.4000","90","IC REG BUCK ADJ 500MA TSOT23-6"
"MD1","TEA 1-0505HI","TopLayer","FP-TEA_1HI-MFG","6.0958","47.5653","270","DC DC CONVERTER 5V 1W"
"MH4","1/8" Unplated Hole","TopLayer","1/8"_Unplated_Hole","60.9600","73.6600","0","1/8" Unplated Hole"
"MH3","1/8" Unplated Hole","TopLayer","1/8"_Unplated_Hole","2.5400","2.5400","0","1/8" Unplated Hole"
"MH2","1/8" Unplated Hole","TopLayer","1/8"_Unplated_Hole","60.9600","2.5400","0","1/8" Unplated Hole"
"MH1","1/8" Unplated Hole","TopLayer","1/8"_Unplated_Hole","2.5400","73.6600","0","1/8" Unplated Hole"
"P2","TSW-110-24-F-D","TopLayer","SMTC-TSW-110-24-X-D","47.0300","57.6500","270","0.025" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 20-Pin, Male, RoHS"
"P1","TSW-110-24-F-D","TopLayer","SMTC-TSW-110-24-X-D","19.0900","57.6500","270","0.025" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 20-Pin, Male, RoHS"
"C7","Cap","TopLayer","0402CAP","15.6000","27.1000","0","CAP CER 0.1UF 50V X7S 0402"
"C8","Cap","TopLayer","0402CAP","17.8000","27.1000","0","CAP CER 0.1UF 50V X7S 0402"
"R6","Res","TopLayer","0402RES","21.8500","34.8942","0","RES SMD 150 OHM 1% 1/10W 0402"
"C9","Cap","TopLayer","0402CAP","58.4000","10.4000","270","CAP CER 0.1UF 50V X7S 0402"
"P3","TSW-120-24-F-D","TopLayer","SMTC-TSW-120-24-X-D","59.7300","44.9500","270","0.025" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 40-Pin, Male, RoHS"
"RN1","EXB-2HV101JV","TopLayer","FP-EXB2HV-MFG","54.5000","64.8000","90","RES ARRAY 8 RES 100 OHM 1506"
"RN2","EXB-2HV101JV","TopLayer","FP-EXB2HV-MFG","54.5000","52.0500","90","RES ARRAY 8 RES 100 OHM 1506"
"RN3","EXB-2HV101JV","TopLayer","FP-EXB2HV-MFG","48.8000","19.5000","180","RES ARRAY 8 RES 100 OHM 1506"
"RN4","EXB-2HV101JV","TopLayer","FP-EXB2HV-MFG","60.3500","16.3500","180","RES ARRAY 8 RES 100 OHM 1506"
"C11","Cap","TopLayer","0402CAP","50.7000","7.3000","90","CAP CER 0.1UF 50V X7S 0402"
"C12","Cap","TopLayer","0402CAP","42.4000","7.3000","90","CAP CER 0.1UF 50V X7S 0402"
"C10","Cap","TopLayer","0402CAP","49.9000","10.4000","270","CAP CER 0.1UF 50V X7S 0402"
"U2","Teensy 4.1","TopLayer","Teensy_4.1","32.3700","31.2400","90","Teensy 4.1 Development Board"
"U12","SN74AHCT595PWR","TopLayer","PW0016A_M","54.7000","4.3000","90","8-Bit Shift Registers With 3-State Output Registers, PW0016A, LARGE T&R"
"U11","SN74AHCT595PWR","TopLayer","PW0016A_M","46.2000","4.3000","90","8-Bit Shift Registers With 3-State Output Registers, PW0016A, LARGE T&R"
"U10","SN74AHCT595PWR","TopLayer","PW0016A_M","45.8958","13.4043","270","8-Bit Shift Registers With 3-State Output Registers, PW0016A, LARGE T&R"
"U9","SN74AHCT595PWR","TopLayer","PW0016A_M","54.3958","13.4043","270","8-Bit Shift Registers With 3-State Output Registers, PW0016A, LARGE T&R"
"U8","FDMQ8205A","TopLayer","FP-511CS-MFG","6.3000","16.9000","270","GREENBRIDGETM 2 SERIES OF HIGH-E"
"U6","TPS2372-4RGWR","TopLayer","FP-RGW0020B-MFG","7.6043","32.1250","0","IC POE CNTRL 1 CHANNEL 20VQFN"
